id,name,q,r
E05001425,"Guiseley and Rawdon",-3,3
E05001437,"Otley and Yeadon",-2,3
E05001411,"Adel and Wharfdale",-1,3
E05001412,"Alwoodley",0,3
E05001426,"Harewood",1,3
E05001443,"Wetherby",2,3
E05001428,"Horsforth",-2,2
E05001442,"Weetwood",-1,2
E05001434,"Moortown",0,2
E05001440,"Roundhay",1,2
E05001418,"Calverley and Farsley",-4,1
E05001416,"Bramley and Stanningley",-3,1
E05001432,"Kirkstall",-2,1
E05001427,"Headingley",-1,1
E05001419,"Chapel Allerton",0,1
E05001430,"Killingbeck and Seacroft",1,1
E05001438,"Pudsey",-3,0
E05001414,"Armley",-2,0
E05001429,"Hyde Park and Woodhouse",-1,0
E05001424,"Gipton and Harehills",1,0
E05001421,"Cross Gates and Whinmoor",2,0
E05001422,"Farnley and Wortley",-3,-1
E05001415,"Beeston and Holbeck",-2,-1
E05001420,"City and Hunslet",-1,-1
E05001417,"Burmantofts and Richmond Hill",0,-1
E05001441,"Temple Newsam",1,-1
E05001435,"Morley North",-2,-2
E05001433,"Middleton Park",-1,-2
E05001439,"Rothwell",0,-2
E05001423,"Garforth and Swillington",1,-2
E05001436,"Morley South",-2,-3
E05001413,"Ardsley and Robin Hood",-1,-3
E05001431,"Kippax and Methley",0,-3
